Symbol,Industry,ISIN Code,Indices
360ONE,Financial Services,INE466L01038,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
3MINDIA,Diversified,INE470A01017,"NIFTY 500, NIFTY MIDCAP 150"
ABB,Capital Goods,INE117A01022,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
ACC,Construction Materials,INE012A01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
ACMESOLAR,Power,INE622W01025,"NIFTY 500, NIFTY SMALLCAP 250"
AIAENG,Capital Goods,INE212H01026,"NIFTY 500, NIFTY MIDCAP 150"
APLAPOLLO,Capital Goods,INE702C01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY METAL"
AUBANK,Financial Services,INE949L01017,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY BANK"
AWL,Fast Moving Consumer Goods,INE699H01024,"NIFTY 500, NIFTY MIDCAP 150"
AADHARHFC,Financial Services,INE883F01010,"NIFTY 500, NIFTY SMALLCAP 250"
AARTIIND,Chemicals,INE769A01020,"NIFTY 500, NIFTY SMALLCAP 250"
AAVAS,Financial Services,INE216P01012,"NIFTY 500, NIFTY SMALLCAP 250"
ABBOTINDIA,Healthcare,INE358A01014,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
ACE,Capital Goods,INE731H01025,"NIFTY 500, NIFTY SMALLCAP 250"
ADANIENSOL,Power,INE931S01010,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
ADANIENT,Metals & Mining,INE423A01024,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
ADANIGREEN,Power,INE364U01010,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
ADANIPORTS,Services,INE742F01042,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
ADANIPOWER,Power,INE814H01029,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
ATGL,Oil Gas & Consumable Fuels,INE399L01023,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
ABCAPITAL,Financial Services,INE674K01013,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
ABFRL,Consumer Services,INE647O01011,"NIFTY 500, NIFTY SMALLCAP 250"
ABLBL,Consumer Services,INE14LE01019,"NIFTY 500, NIFTY SMALLCAP 250"
ABREL,Forest Materials,INE055A01016,"NIFTY 500, NIFTY SMALLCAP 250"
ABSLAMC,Financial Services,INE404A01024,"NIFTY 500, NIFTY SMALLCAP 250"
AEGISLOG,Oil Gas & Consumable Fuels,INE208C01025,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
AEGISVOPAK,Oil Gas & Consumable Fuels,INE0INX01018,"NIFTY 500, NIFTY SMALLCAP 250"
AFCONS,Construction,INE101I01011,"NIFTY 500, NIFTY SMALLCAP 250"
AFFLE,Information Technology,INE00WC01027,"NIFTY 500, NIFTY SMALLCAP 250"
AJANTPHARM,Healthcare,INE031B01049,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
AKUMS,Healthcare,INE09XN01023,"NIFTY 500, NIFTY SMALLCAP 250"
AKZOINDIA,Consumer Durables,INE133A01011,"NIFTY 500, NIFTY SMALLCAP 250"
APLLTD,Healthcare,INE901L01018,"NIFTY 500, NIFTY SMALLCAP 250"
ALKEM,Healthcare,INE540L01014,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
ALKYLAMINE,Chemicals,INE150B01039,"NIFTY 500, NIFTY SMALLCAP 250"
ALOKINDS,Textiles,INE270A01029,"NIFTY 500, NIFTY SMALLCAP 250"
ARE&M,Automobile and Auto Components,INE885A01032,"NIFTY 500, NIFTY SMALLCAP 250"
AMBER,Consumer Durables,INE371P01015,"NIFTY 500, NIFTY SMALLCAP 250"
AMBUJACEM,Construction Materials,INE079A01024,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
ANANDRATHI,Financial Services,INE463V01026,"NIFTY 500, NIFTY SMALLCAP 250"
ANANTRAJ,Realty,INE242C01024,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY REALTY"
ANGELONE,Financial Services,INE732I01013,"NIFTY 500, NIFTY SMALLCAP 250"
APARINDS,Capital Goods,INE372A01015,"NIFTY 500, NIFTY MIDCAP 150"
APOLLOHOSP,Healthcare,INE437A01024,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
APOLLOTYRE,Automobile and Auto Components,INE438A01022,"NIFTY 500, NIFTY MIDCAP 150"
APTUS,Financial Services,INE852O01025,"NIFTY 500, NIFTY SMALLCAP 250"
ASAHIINDIA,Automobile and Auto Components,INE439A01020,"NIFTY 500, NIFTY SMALLCAP 250"
ASHOKLEY,Capital Goods,INE208A01029,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
ASIANPAINT,Consumer Durables,INE021A01026,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
ASTERDM,Healthcare,INE914M01019,"NIFTY 500, NIFTY SMALLCAP 250"
ASTRAZEN,Healthcare,INE203A01020,"NIFTY 500, NIFTY SMALLCAP 250"
ASTRAL,Capital Goods,INE006I01046,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
ATHERENERG,Automobile and Auto Components,INE0LEZ01016,"NIFTY 500, NIFTY SMALLCAP 250"
ATUL,Chemicals,INE100A01010,"NIFTY 500, NIFTY SMALLCAP 250"
AUROPHARMA,Healthcare,INE406A01037,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
AIIL,Financial Services,INE206F01022,"NIFTY 500, NIFTY SMALLCAP 250"
DMART,Consumer Services,INE192R01011,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
AXISBANK,Financial Services,INE238A01034,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK"
BASF,Chemicals,INE373A01013,"NIFTY 500, NIFTY SMALLCAP 250"
BEML,Capital Goods,INE258A01024,"NIFTY 500, NIFTY SMALLCAP 250"
